UserID,TotalReceived,TotalPurchased
98,163,7
2,168,6
50,145,6
113,140,6
221,65,6
12,159,5
70,155,5
75,150,5
83,150,5
89,154,5
90,150,5
106,145,5
166,100,5
7,154,4
76,150,4
77,150,4
95,152,4
110,130,4
155,105,4
9,155,3
28,160,3
30,165,3
44,155,3
62,150,3
74,150,3
104,145,3
108,140,3
126,130,3
134,116,3
148,105,3
156,105,3
158,100,3
200,80,3
209,65,3
228,65,3
259,50,3
272,45,3
408,15,3
410,15,3
16,150,2
26,160,2
47,155,2
57,155,2
65,150,2
72,160,2
78,160,2
79,145,2
84,160,2
92,155,2
101,119,2
112,135,2
117,130,2
121,70,2
29,65,2
141,120,2
160,95,2
162,40,2
171,95,2
193,75,2
201,80,2
219,65,2
222,65,2
231,65,2
237,60,2
243,55,2
275,45,2
288,35,2
304,25,2
362,20,2
416,15,2
3,155,1
4,155,1
6,147,1
10,146,1
11,155,1
13,155,1
27,155,1
42,155,1
64,160,1
66,150,1
67,150,1
68,150,1
73,155,1
81,150,1
86,155,1
88,155,1
93,145,1
105,135,1
107,130,1
119,135,1
122,45,1
138,120,1
139,120,1
142,120,1
144,115,1
146,105,1
147,105,1
161,105,1
169,70,1
173,95,1
175,95,1
176,95,1
177,85,1
59,5,1
178,90,1
179,10,1
190,70,1
191,60,1
192,75,1
195,25,1
203,70,1
206,15,1
198,75,1
208,65,1
212,60,1
213,65,1
220,30,1
225,65,1
226,65,1
230,65,1
233,65,1
235,55,1
239,60,1
251,55,1
260,50,1
265,40,1
269,35,1
273,15,1
274,45,1
276,35,1
279,35,1
285,40,1
277,35,1
278,35,1
291,25,1
292,20,1
295,25,1
298,25,1
313,25,1
316,15,1
317,20,1
324,20,1
373,15,1
375,10,1
387,15,1
436,10,1
437,15,1
413,10,1
445,10,1
450,10,1
1,155,0
46,145,0
60,160,0
61,25,0
63,160,0
87,160,0
91,130,0
94,150,0
97,160,0
100,64,0
102,70,0
103,145,0
109,115,0
114,140,0
115,45,0
116,40,0
118,5,0
120,5,0
123,20,0
125,70,0
82,25,0
128,95,0
130,80,0
131,130,0
127,30,0
140,120,0
143,20,0
149,100,0
150,100,0
152,10,0
153,100,0
154,100,0
157,70,0
159,100,0
163,75,0
164,105,0
165,100,0
167,100,0
168,95,0
172,5,0
174,95,0
184,10,0
185,95,0
180,35,0
181,90,0
183,85,0
187,90,0
188,90,0
189,90,0
194,75,0
196,75,0
197,75,0
202,70,0
205,80,0
199,80,0
204,80,0
207,35,0
210,10,0
211,10,0
215,65,0
216,65,0
217,65,0
218,50,0
227,30,0
229,65,0
232,65,0
234,45,0
236,5,0
238,60,0
240,60,0
241,5,0
242,60,0
244,60,0
245,55,0
246,50,0
247,55,0
248,15,0
249,55,0
250,45,0
252,15,0
254,55,0
268,50,0
256,50,0
258,50,0
261,50,0
262,10,0
263,50,0
266,49,0
267,50,0
270,35,0
253,45,0
255,50,0
271,10,0
280,40,0
284,35,0
281,35,0
282,35,0
283,35,0
289,20,0
290,35,0
315,25,0
293,25,0
294,25,0
296,25,0
297,25,0
299,25,0
300,25,0
302,25,0
303,25,0
306,25,0
307,25,0
308,25,0
309,25,0
310,25,0
311,20,0
312,25,0
314,25,0
318,20,0
319,20,0
320,20,0
321,20,0
322,20,0
323,20,0
325,20,0
326,20,0
327,20,0
328,20,0
329,20,0
352,17,0
353,20,0
354,20,0
355,5,0
356,20,0
357,20,0
358,20,0
359,20,0
360,20,0
361,20,0
363,20,0
364,20,0
365,20,0
366,20,0
367,5,0
368,20,0
369,20,0
370,20,0
371,20,0
372,20,0
374,20,0
376,15,0
377,15,0
378,15,0
386,15,0
388,15,0
389,15,0
390,15,0
391,15,0
392,16,0
393,15,0
394,15,0
395,15,0
397,15,0
398,15,0
399,15,0
400,15,0
401,15,0
402,15,0
403,15,0
404,15,0
412,15,0
414,10,0
420,15,0
422,15,0
424,15,0
425,15,0
428,15,0
429,15,0
431,15,0
432,15,0
434,15,0
379,10,0
380,10,0
381,10,0
382,10,0
383,10,0
384,10,0
385,5,0
406,10,0
409,10,0
411,10,0
415,10,0
417,10,0
418,10,0
419,10,0
421,10,0
423,10,0
426,10,0
427,10,0
430,10,0
433,10,0
435,10,0
439,10,0
440,5,0
441,10,0
442,5,0
443,10,0
444,10,0
446,10,0
447,10,0
448,10,0
449,10,0
451,10,0
452,10,0
453,10,0
454,10,0
455,10,0
405,5,0
456,5,0
457,5,0
458,5,0
459,5,0
460,5,0
461,5,0
462,5,0
463,5,0
464,5,0
467,5,0
468,5,0
