UserID,TotalPurchases
98,7
50,6
113,6
2,6
221,6
75,5
90,5
106,5
89,5
12,5
83,5
70,5
166,5
95,4
77,4
76,4
155,4
7,4
110,4
108,3
126,3
74,3
28,3
44,3
30,3
62,3
156,3
9,3
158,3
200,3
148,3
228,3
104,3
272,3
134,3
209,3
259,3
408,3
410,3
16,2
72,2
79,2
29,2
47,2
92,2
121,2
141,2
65,2
117,2
171,2
57,2
162,2
84,2
160,2
201,2
78,2
222,2
101,2
219,2
26,2
231,2
237,2
275,2
193,2
288,2
304,2
362,2
416,2
243,2
112,2
122,1
13,1
86,1
68,1
119,1
81,1
175,1
59,1
107,1
177,1
179,1
105,1
161,1
173,1
190,1
192,1
147,1
195,1
206,1
146,1
176,1
178,1
208,1
67,1
220,1
88,1
138,1
239,1
3,1
212,1
144,1
226,1
230,1
269,1
169,1
225,1
233,1
11,1
273,1
274,1
42,1
139,1
191,1
251,1
64,1
142,1
213,1
260,1
278,1
292,1
295,1
313,1
316,1
291,1
198,1
373,1
265,1
277,1
279,1
324,1
375,1
436,1
437,1
203,1
235,1
317,1
413,1
276,1
27,1
285,1
298,1
66,1
387,1
445,1
450,1
6,1
93,1
4,1
10,1
73,1
