purchase id,purchase_date,amount,commission,outbound_text_id
1,6/4/2020,89.9,14.384,2
2,6/6/2020,218.7,24.057,19
3,6/6/2020,99,6.93,22
4,6/5/2020,52,8.32,30
5,6/4/2020,24.6,1.23,66
6,6/6/2020,25.53,5.106,151
7,6/8/2020,170.4,22.152,175
8,6/11/2020,208.75,10.4375,181
9,6/14/2020,117.6,17.64,276
10,6/13/2020,69.85,11.176,278
11,6/13/2020,297,47.52,295
12,6/15/2020,143.5,17.22,326
13,6/15/2020,14,1.68,447
14,6/15/2020,66,9.24,519
15,6/13/2020,298,41.72,524
16,6/16/2020,281.18,16.8708,576
17,6/16/2020,46,5.06,579
18,6/17/2020,20,3,670
19,6/19/2020,81.55,10.6015,854
20,6/20/2020,46.1,3.688,919
21,6/19/2020,49.1,3.928,949
22,6/19/2020,29.9,2.093,981
23,6/19/2020,79.8,15.162,985
24,6/21/2020,103,11.33,1187
25,6/22/2020,49.9,3.992,1232
26,6/22/2020,24.5,3.185,1299
27,6/22/2020,81.9,12.285,1344
28,6/22/2020,172,22.36,1377
29,6/22/2020,205.65,12.339,1381
30,6/22/2020,173.94,26.091,1435
31,6/23/2020,29.59,3.5508,1592
32,6/25/2020,260,26,1646
33,6/25/2020,236,33.04,1708
34,6/24/2020,213.7,25.644,1720
35,6/27/2020,185.24,33.3432,2008
36,6/26/2020,230.3,43.757,2075
37,6/26/2020,296,56.24,2124
38,6/26/2020,215.99,34.5584,2153
39,7/1/2020,138.22,12.4398,2324
40,7/2/2020,270,24.3,2327
41,7/2/2020,265,23.85,2339
42,7/2/2020,237.1,33.194,2382
43,7/2/2020,57.4,9.758,2385
44,7/1/2020,89.2,15.164,2389
45,7/1/2020,91.94,16.5492,2420
46,7/1/2020,227.5,45.5,2454
47,7/3/2020,52.43,3.1458,2485
48,7/3/2020,33.07,1.6535,2488
49,7/4/2020,22.75,4.095,2778
50,7/3/2020,16.7,2.839,2820
51,7/4/2020,139.29,15.3219,2906
52,7/4/2020,26.18,4.1888,3028
53,7/4/2020,17.11,2.0532,3122
54,7/5/2020,91,6.37,3137
55,7/6/2020,130.81,11.7729,3180
56,7/5/2020,67.03,11.3951,3217
57,7/6/2020,79.21,13.4657,3298
58,7/4/2020,64.9,3.245,3350
59,7/5/2020,14.2,1.42,3389
60,7/6/2020,53.43,6.9459,3411
61,7/5/2020,35.55,5.3325,3442
62,7/4/2020,20.24,2.2264,3500
63,7/8/2020,268.51,45.6467,3743
64,7/9/2020,196.17,35.3106,3756
65,7/9/2020,291,49.47,3909
66,7/10/2020,126,17.64,4062
67,7/9/2020,219.5,43.9,4109
68,7/10/2020,273.99,38.3586,4308
69,7/11/2020,60.85,7.302,4312
70,7/9/2020,20.88,1.8792,4529
71,7/11/2020,99.75,5.985,4553
72,7/11/2020,36.66,3.666,4989
73,7/16/2020,44.41,8.882,5196
74,7/16/2020,61.67,4.3169,5211
75,7/17/2020,200.6,32.096,5318
76,7/16/2020,34.16,6.832,5320
77,7/16/2020,71.24,13.5356,5355
78,7/17/2020,45.06,8.5614,5359
79,7/17/2020,80.28,13.6476,5417
80,7/15/2020,10.48,1.8864,5447
81,7/15/2020,77.62,3.881,5449
82,7/18/2020,72.57,12.3369,5503
83,7/16/2020,74.12,12.6004,5519
84,7/19/2020,41.91,5.4483,5537
85,7/18/2020,53.17,8.5072,5619
86,7/18/2020,299,14.95,5626
87,7/17/2020,150,15,5691
88,7/18/2020,114.4,10.296,5803
89,7/19/2020,112.13,5.6065,5898
90,7/17/2020,82.84,5.7988,5939
91,7/19/2020,13.99,1.9586,6095
92,7/18/2020,10.97,1.5358,6130
93,7/21/2020,40.24,2.8168,6180
94,7/21/2020,124.26,13.6686,6301
95,7/21/2020,18.15,0.9075,6392
96,7/20/2020,221.66,19.9494,6603
97,7/22/2020,26.11,5.222,6630
98,7/20/2020,82.65,15.7035,6659
99,7/21/2020,181.13,21.7356,6660
100,7/20/2020,315.5,50.48,6690
101,7/24/2020,118.68,20.1756,6766
102,7/22/2020,56.5,7.91,6807
103,7/23/2020,73.34,14.668,6819
104,7/22/2020,108,7.56,6972
105,7/23/2020,172.2,8.61,7013
106,7/24/2020,65.65,12.4735,7017
107,7/23/2020,21.04,3.9976,7022
108,7/22/2020,218.7,39.366,7025
109,7/23/2020,82.69,14.0573,7039
110,7/23/2020,40.24,3.6216,7062
111,7/22/2020,9.9,0.594,7067
112,7/23/2020,29,2.61,7083
113,7/22/2020,66.34,13.268,7096
114,7/24/2020,95.72,5.7432,7332
115,7/23/2020,281.5,42.225,7335
116,7/25/2020,165,26.4,7355
117,7/26/2020,249,27.39,7411
118,7/25/2020,61.9,7.428,7477
119,7/26/2020,141.2,28.24,7528
120,7/25/2020,296.55,59.31,7533
121,7/25/2020,79.22,6.3376,7614
122,7/25/2020,18.78,2.0658,7734
123,7/26/2020,21.81,2.181,7969
124,7/26/2020,18.84,2.0724,7984
125,7/24/2020,87.15,14.8155,7997
126,7/24/2020,32.09,3.8508,8015
127,7/30/2020,255,12.75,8330
128,7/30/2020,76,3.8,8342
129,7/28/2020,178.9,17.89,8360
130,7/30/2020,250,12.5,8494
131,7/29/2020,105.04,8.4032,8573
132,7/30/2020,240.5,21.645,8584
133,7/30/2020,23.65,2.6015,8611
134,7/28/2020,69,8.28,8617
135,7/30/2020,55,3.85,8632
136,7/30/2020,295,53.1,8771
137,7/30/2020,23.35,1.868,8911
138,7/29/2020,94.3,8.487,8935
139,7/30/2020,150,25.5,9129
140,7/30/2020,110,12.1,9143
141,7/31/2020,61.67,3.7002,9206
142,7/31/2020,85.66,17.132,9254
143,8/2/2020,50,5.5,9393
144,7/31/2020,76.93,10.7702,9451
145,7/31/2020,59.9,9.584,9464
146,7/31/2020,131.5,23.67,9541
147,8/2/2020,68.64,7.5504,9582
148,8/1/2020,41.06,5.3378,9601
149,8/2/2020,44.4,3.108,9718
150,8/2/2020,40.6,6.496,9782
151,7/31/2020,305.5,18.33,9819
152,8/1/2020,81.81,7.3629,9869
153,7/31/2020,118.81,23.762,10056
154,7/31/2020,36.49,6.9331,10059
155,8/1/2020,22.6,4.52,10215
156,8/1/2020,47,4.23,10253
157,8/2/2020,91,11.83,10285
158,8/2/2020,28.24,2.5416,10286
159,8/3/2020,29.9,3.887,10517
160,8/1/2020,86.75,5.205,10528
161,8/3/2020,17,1.36,10759
162,8/3/2020,79.65,3.9825,10781
163,8/2/2020,72.83,6.5547,10804
164,8/6/2020,24,1.44,11034
165,8/6/2020,20,2,11044
166,8/6/2020,7.9,1.501,11071
167,8/7/2020,62.97,6.9267,11145
168,8/7/2020,99.75,14.9625,11207
169,8/5/2020,62.95,11.331,11212
170,8/5/2020,50.5,3.03,11270
171,8/7/2020,24.67,2.7137,11274
172,8/6/2020,63.59,10.1744,11442
173,8/7/2020,203,30.45,11531
174,8/6/2020,230,13.8,11650
175,8/5/2020,57.56,8.0584,11656
176,8/6/2020,19.83,3.3711,11713
177,8/8/2020,57.73,7.5049,11905
178,8/7/2020,60.17,8.4238,11911
179,8/9/2020,44.8,5.824,11942
180,8/8/2020,35.44,3.544,11951
181,8/8/2020,57,3.42,11959
182,8/7/2020,82.83,13.2528,11982
183,8/8/2020,10.9,0.654,11985
184,8/8/2020,16.5,2.31,12196
185,8/8/2020,9,1.8,12271
186,8/9/2020,82,6.56,12493
187,8/9/2020,17.6,2.288,12646
188,8/9/2020,24.5,2.695,12679
189,8/8/2020,32.17,3.8604,12683
190,8/8/2020,228,34.2,12726
191,8/10/2020,27.1,2.981,12800
192,8/8/2020,40.32,7.6608,12839
193,8/8/2020,20.51,3.2816,12849
194,8/9/2020,89.23,12.4922,12854
195,8/9/2020,63.15,3.789,12863
196,8/8/2020,26.69,1.3345,12923
197,8/8/2020,30.99,4.9584,12964
198,8/8/2020,41.05,5.3365,13004
199,8/9/2020,66.75,3.3375,13128
200,8/10/2020,148,20.72,13366
201,8/12/2020,250,15,14015
202,8/13/2020,69,10.35,14213
203,8/13/2020,46.28,3.7024,14303
204,8/12/2020,19.2,1.728,14312
205,8/14/2020,43.4,2.17,14380
206,8/13/2020,9.6,0.864,14392
207,8/12/2020,16.9,2.535,14413
208,8/12/2020,92.15,18.43,14428
209,8/13/2020,67.65,8.7945,14445
210,8/14/2020,31.13,1.8678,14478
211,8/14/2020,42.29,2.9603,14487
212,8/13/2020,170.77,34.154,14515
213,8/14/2020,54,2.7,14641
214,8/13/2020,94.2,12.246,14653
215,8/15/2020,47.15,3.772,14851
216,8/14/2020,59.9,5.391,14933
217,8/15/2020,16,2.24,14935
218,8/14/2020,50.9,9.671,14967
219,8/15/2020,83.26,13.3216,14969
220,8/15/2020,29.9,3.887,15004
221,8/15/2020,43,6.02,15007
222,8/15/2020,12.59,1.6367,15044
223,8/15/2020,35.08,2.8064,15078
224,8/16/2020,45.9,4.131,15123
225,8/15/2020,88.26,5.2956,15308
226,8/14/2020,267.5,24.075,15553
227,8/17/2020,32.2,1.61,15876
228,8/17/2020,51.35,8.216,15952
229,8/16/2020,66.81,7.3491,16052
230,8/17/2020,112.4,19.108,16118
231,8/17/2020,80.9,9.708,16131
232,8/17/2020,85.5,4.275,16183
233,8/15/2020,71,3.55,16408
234,8/20/2020,67,12.06,16550
235,8/20/2020,18,2.52,16552
236,8/19/2020,23.5,4.465,16571
237,8/20/2020,38.6,6.948,16588
238,8/21/2020,65.5,5.895,16704
239,8/21/2020,73.07,7.307,16899
240,8/21/2020,42.93,8.1567,16909
241,8/20/2020,69.89,13.2791,16933
242,8/20/2020,50.69,7.0966,16946
243,8/19/2020,71.4,13.566,17196
244,8/19/2020,14.87,1.487,17453
245,8/20/2020,93.96,6.5772,17463
246,8/21/2020,115,20.7,17506
247,8/20/2020,98,11.76,17521
248,8/19/2020,199.9,35.982,17612
249,8/20/2020,169.9,22.087,17658
250,8/19/2020,72.9,9.477,17661
251,8/22/2020,83.9,11.746,17857
252,8/23/2020,127,10.16,18164
253,8/23/2020,50,8,18188
254,8/23/2020,81.5,8.965,18199
255,8/24/2020,90,12.6,18237
256,8/23/2020,168.11,11.7677,18283
257,8/22/2020,163.58,19.6296,18327
258,8/24/2020,32.28,2.2596,18333
259,8/24/2020,43.08,2.154,18375
260,8/22/2020,23.42,1.4052,18410
261,8/23/2020,98,17.64,18431
262,8/23/2020,98,13.72,18582
263,8/24/2020,38.24,7.2656,18627
264,8/23/2020,35.51,3.551,18751
265,8/22/2020,25.89,2.0712,18814
266,8/24/2020,86.7,8.67,18839
267,8/22/2020,69.14,13.1366,18891
268,8/22/2020,35.28,2.8224,18901
269,8/24/2020,67.9,4.074,18909
270,8/22/2020,57.28,6.8736,18924
271,8/22/2020,42.91,3.8619,19003
272,8/28/2020,65,7.15,19303
273,8/28/2020,200,14,19526
274,8/27/2020,40.9,6.953,19669
275,8/28/2020,18.83,1.3181,19779
276,8/28/2020,23.43,2.5773,19879
277,8/26/2020,65.68,10.5088,20171
278,8/26/2020,43.47,7.8246,20208
279,8/28/2020,46.35,5.0985,20388
280,8/29/2020,86.05,17.21,20459
281,8/28/2020,98.89,18.7891,20488
282,8/30/2020,17.28,3.456,20796
283,8/30/2020,20.17,1.4119,20800
284,8/30/2020,28.26,5.652,20815
285,8/31/2020,38.84,6.2144,20817
286,8/30/2020,14,2.1,20903
287,8/30/2020,32,4.16,21239
288,8/30/2020,49.19,4.919,21257
289,8/31/2020,28.57,1.7142,21286
290,8/30/2020,78.92,3.946,21350
291,8/31/2020,97.95,4.8975,21430
292,8/31/2020,79.7,7.173,21605
293,8/31/2020,150,9,21617
294,8/31/2020,63.01,5.6709,21658
295,8/30/2020,38.89,7.0002,22012
296,8/30/2020,192,38.4,22287
297,8/31/2020,20,3.8,22335
